Bairro,Região
Bairro dos Pinheiros,Centro
Serimbura,Centro
Centro,Centro
Conj. Hab. Vale dos Pinheiros,Centro
Conj. Res. Monte Castelo,Centro
Favela Vila Nova Esperança,Centro
Jardim Aparecida,Centro
Jardim Apolo I,Centro
Jardim Apolo II,Centro
Jardim Augusta,Centro
Jardim Azevedo,Centro
Jardim Bandeirantes,Centro
Jardim Bela Vista,Centro
Jardim Corinthians,Centro
Jardim Esplanada,Centro
Jardim Esplanada II,Centro
Jardim Frei Leopoldo,Centro
Jardim Jussara,Centro
Jardim Margareth,Centro
Jardim Maringá,Centro
Jardim Matarazzo,Centro
Jardim Nossa Senhora de Fátima,Centro
Jardim Nova América,Centro
Jardim Nova Europa,Centro
Jardim Oswaldo Cruz,Centro
Jardim Paulista,Centro
Jardim Renata,Centro
Jardim Santa Madalena,Centro
Jardim Santos Dumont,Centro
Jardim São Dimas,Centro
Jardim São José,Centro
Jardim Topázio,Centro
Jardim Vale Paraíso,Centro
Monte Castelo,Centro
Res. Esplanada do Sol,Centro
Res. Martins Pereira,Centro
Vila Abel,Centro
Vila Ady'Ana,Centro
Vila Betânia,Centro
Vila Cardoso,Centro
Vila Ema,Centro
Vila Guaianazes,Centro
Vila Guarani,Centro
Vila Higienópolis,Centro
Vila Icaraí,Centro
Vila Igualdade,Centro
Vila Ipiranga,Centro
Vila Jaci,Centro
Vila Kennedy,Centro
Vila Luzia,Centro
Vila Maria,Centro
Vila Mascarenhas Ferraz,Centro
Vila Nova Guarani,Centro
Vila Nova São José,Centro
Vila Nove de Julho,Centro
Vila Paganini,Centro
Vila Paulo Setúbal,Centro
Vila Piratininga,Centro
Vila Progresso,Centro
Vila Rubi,Centro
Vila Sanches,Centro
Vila Santa Cruz I,Centro
Vila Santa Cruz II,Centro
Vila Santa Cruz III,Centro
Vila Santa Helena,Centro
Vila Santa Luzia,Centro
Vila Santa Rita,Centro
Vila Santos,Centro
Vila São Paulo,Centro
Vila São Pedro,Centro
Vila Terezinha,Centro
Chácara dos Eucaliptos,Centro/Leste
Águas da Prata,Leste
Araújo,Leste
Bairrinho,Leste
Bairro Cajurú,Leste
Martins Guimarães,Leste
Mato Dentro,Leste
Bica d'Água,Leste
Bom Retiro,Leste
Cambucá,Leste
Campos de São José,Leste
Capão Grosso,Leste
Capão Grosso II,Leste
Castanheira II,Leste
Chácara Boa Esperança,Leste
Chácara Capão Grosso,Leste
Chácara Majestic,Leste
Chácara Pousada do Vale,Leste
Chácara Santa Luzia,Leste
Chácara São Vicente,Leste
Chácara Sítio Jataí,Leste
Cidade Vista Verde,Leste
Condomínio Floresta,Leste
Conj. Hab. Intervale,Leste
Conj. Hab. São José,Leste
